profiling/Time taken: GRPOTrainer.transformers.generate,_step,_runtime,_timestamp,train/global_step,profiling/Time taken: GRPOTrainer._get_per_token_logps_and_entropies,reward/synthesizability,reward/boltz2_pose_conf,reward/non_finite_zeroed,reward/crashes_total,reward/structural_alerts,reward/spectrum_breadth,reward/predicted_mic,profiling/Time taken: GRPOTrainer.reward_callable,reward/embedding_novelty,reward/resistance_robustness,reward/hemolysis_safety,reward/validity,reward/pareto_entry,reward/drug_likeness_qed,reward/novelty,profiling/Time taken: GRPOTrainer._calculate_rewards,profiling/Time taken: GRPOTrainer._prepare_inputs,profiling/Time taken: GRPOTrainer.compute_loss,train/entropy,train/clip_ratio/region_mean,train/completions/mean_terminated_length,train/rewards/reward_callable/std,train/clip_ratio/high_max,train/step_time,train/reward,train/num_tokens,train/kl,train/completions/min_terminated_length,train/loss,train/grad_norm,train/completions/min_length,train/clip_ratio/low_min,train/learning_rate,train/clip_ratio/low_mean,train/completions/mean_length,train/epoch,train/rewards/reward_callable/mean,train/frac_reward_zero_std,train/completions/max_terminated_length,train/completions/clipped_ratio,train/clip_ratio/high_mean,train/reward_std,train/completions/max_length
143.751122089001,0,143.920803093,1778110575.0116513,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,152.149110283,1778110583.2249918,0,8.152295419000438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,158.812950931,1778110589.9042149,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.492012417002115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,158.813477171,1778110589.9048045,0,,,,,,,,,,,,,,,,,6.492715906002559,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,158.815406534,1778110589.9066489,0,,,,,,,,,,,,,,,,,,158.6494676949951,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,159.1762793,1778110590.2672732,0,0.3603097710001748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,159.349553339,1778110590.4406044,0,,,,,,,,,,,,,,,,,,,0.5337765389995184,,,,,,,,,,,,,,,,,,,,,,,,,
,7,162.216951725,1778110593.3078687,0,,,,,,,,,,,,,,,,,,6.922011380083859e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,162.56936411,1778110593.6603854,0,0.3515915260068141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,162.706936955,1778110593.7981012,0,,,,,,,,,,,,,,,,,,,0.4899354360095458,,,,,,,,,,,,,,,,,,,,,,,,,
,10,163.700907465,1778110594.7919724,0,,,,,,,,,,,,,,,,,,4.429995897226036e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,164.047017712,1778110595.138079,0,0.34553829999640584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,164.191661429,1778110595.282842,0,,,,,,,,,,,,,,,,,,,0.4906921490037348,,,,,,,,,,,,,,,,,,,,,,,,,
,13,165.191824247,1778110596.282926,0,,,,,,,,,,,,,,,,,,4.882007488049567e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,165.556080643,1778110596.6471326,0,0.3636829629977001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,165.729110878,1778110596.8201106,0,,,,,,,,,,,,,,,,,,,0.5369928970030742,,,,,,,,,,,,,,,,,,,,,,,,,
,16,166.783312207,1778110597.8743713,0,,,,,,,,,,,,,,,,,,4.262998118065298e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,167.156100147,1778110598.247159,0,0.37206560699269176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,167.315863022,1778110598.4070406,0,,,,,,,,,,,,,,,,,,,0.5324067789915716,,,,,,,,,,,,,,,,,,,,,,,,,
,19,168.362912323,1778110599.4540124,0,,,,,,,,,,,,,,,,,,4.202011041343212e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,168.716671235,1778110599.8078487,0,0.3532648490072461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,168.854363633,1778110599.9452534,0,,,,,,,,,,,,,,,,,,,0.4910083639988443,,,,,,,,,,,,,,,,,,,,,,,,,
,22,169.842629682,1778110600.9336903,0,,,,,,,,,,,,,,,,,,3.9090082282200456e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,170.262770703,1778110601.3539622,0,0.41966273699654266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,170.410139433,1778110601.5012019,0,,,,,,,,,,,,,,,,,,,0.5672769910015631,,,,,,,,,,,,,,,,,,,,,,,,,
,25,171.40195426,1778110602.4930713,0,,,,,,,,,,,,,,,,,,4.572997568175197e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,171.761297136,1778110602.8523972,0,0.3588890429964522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,171.938470214,1778110603.0296571,0,,,,,,,,,,,,,,,,,,,0.5364085150067694,,,,,,,,,,,,,,,,,,,,,,,,,
,28,172.994326048,1778110604.0851517,0,,,,,,,,,,,,,,,,,,4.012006684206426e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,173.360405988,1778110604.4514937,0,0.36595990699424874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,173.528434218,1778110604.6194024,0,,,,,,,,,,,,,,,,,,,0.5340752749907551,,,,,,,,,,,,,,,,,,,,,,,,,
,31,174.575716002,1778110605.6668055,0,,,,,,,,,,,,,,,,,,3.913999535143375e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,174.925320695,1778110606.016348,0,0.34910506299638655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,175.06769908,1778110606.1586418,0,,,,,,,,,,,,,,,,,,,0.49162723499466665,,,,,,,,,,,,,,,,,,,,,,,,,
,34,176.057442103,1778110607.1485975,0,,,,,,,,,,,,,,,,,,4.201996489427984e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,176.39377001,1778110607.4848704,0,0.3357683630019892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,176.544008574,1778110607.635003,0,,,,,,,,,,,,,,,,,,,0.486232471987023,,,,,,,,,,,,,,,,,,,,,,,,,
,37,177.529103415,1778110608.6199389,0,,,,,,,,,,,,,,,,,,3.950990503653884e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,177.917263921,1778110609.008336,0,0.3881241700000828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,178.067728123,1778110609.1586714,0,,,,,,,,,,,,,,,,,,,0.5385542370058829,,,,,,,,,,,,,,,,,,,,,,,,,
,40,179.121208151,1778110610.2122662,0,,,,,,,,,,,,,,,,,,3.919005393981934e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,179.479819657,1778110610.5707788,0,0.35804040101356804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,179.655086151,1778110610.7461135,0,,,,,,,,,,,,,,,,,,,0.5336954630038235,,,,,,,,,,,,,,,,,,,,,,,,,
,43,180.703647752,1778110611.7947466,0,,,,,,,,,,,,,,,,,,3.831999492831528e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,181.0437178,1778110612.1346712,0,0.3392477979941759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,181.191008712,1778110612.2820482,0,,,,,,,,,,,,,,,,,,,0.48710432401276194,,,,,,,,,,,,,,,,,,,,,,,,,
,46,182.175896491,1778110613.2668617,0,,,,,,,,,,,,,,,,,,4.081986844539642e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,182.673716201,1778110613.7645953,0,0.49708564300090075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,182.702328691,1778110613.7933567,0,,,,,,,,,,,,,,,,,,,0.526294686991605,,,,,,,,,,,,,,,,,,,,,,,,,
,49,183.691406478,1778110614.7824426,0,,,,,,,,,,,,,,,,,,5.055000656284392e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,184.069141773,1778110615.160078,0,0.37706102000083774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,184.22499251,1778110615.3159254,0,,,,,,,,,,,,,,,,,,,0.5332455280004069,,,,,,,,,,,,,,,,,,,,,,,,,
141.10054394300096,52,326.561397028,1778110757.6523736,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,334.525776443,1778110765.6066444,0,7.90994984000281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,335.379190528,1778110766.470442,0,,0.010517312440919246,0.0,0.0,0.0,0.0625,0.0,0.01836332007749191,0.7045886239939136,0.00048166216855644674,0.0,0.05,0.0625,0.0,0.02121397436534432,0.05952380952380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,335.38233464,1778110766.4736488,0,,,,,,,,,,,,,,,,,0.7078944109962322,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,335.38424592,1778110766.475258,0,,,,,,,,,,,,,,,,,,149.92619355898933,,,,,,,,,,,,,,,,,,,,,,,,,,
